Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15193197170, -88.25669961370)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15180434690, -88.25664974540)"
Acer rubrum,"maple, red",11,1,Street,"(40.09223006630, -88.28622632120)"
Acer platanoides,"maple, Norway",16,1,Street,"(40.09206219900, -88.28621825190)"
Acer platanoides,"maple, Norway",17,1,Street,"(40.09193002260, -88.28622105950)"
Liquidambar styraciflua,"sweetgum, American",15,1,Street,"(40.09170972350, -88.28621302640)"
Acer platanoides,"maple, Norway",16,1,Street,"(40.09163209370, -88.28621854850)"
Acer rubrum,"maple, red",11,1,Street,"(40.09155822940, -88.29047745870)"
Acer rubrum,"maple, red",20,1,Street,"(40.09155391280, -88.29016332340)"
Acer rubrum,"maple, red",5,1,Street,"(40.09154960040, -88.28986284170)"
Acer saccharinum,"maple, silver",28,1,Street,"(40.09154745270, -88.28977266560)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.09318253930, -88.28663045430)"
Gleditsia triacanthos inermis,"honeylocust, thornless",22,1,Street,"(40.09154932020, -88.28912251420)"
Acer rubrum,"maple, red",13,1,Street,"(40.09310818560, -88.28638730980)"
Fraxinus pennsylvanica,"ash, green",31,1,Street,"(40.09153652820, -88.28862259680)"
Liriodendron tulipifera,tuliptree,8,1,Street,"(40.09153437320, -88.28844503110)"
Fraxinus pennsylvanica,"ash, green",25,1,Street,"(40.09153222030, -88.28834395370)"
Fraxinus pennsylvanica,"ash, green",20,1,Street,"(40.09152791780, -88.28801066090)"
Pyrus calleryana,"pear, Callery",1,1,Street,"(40.15140446440, -88.25647655050)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15130845300, -88.25645308400)"
Celtis occidentalis,"hackberry, common",4,1,Street,"(40.15123166990, -88.25644877040)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15110067140, -88.25644451800)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15082739480, -88.25644039030)"
Acer rubrum,"maple, red",3,1,Street,"(40.15166764560, -88.25657337930)"
Pyrus calleryana,"pear, Callery",2,1,Street,"(40.15152417180, -88.25650879060)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.15096289820, -88.25644907350)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15055400170, -88.25630236410)"
Acer rubrum,"maple, red",19,1,Street,"(40.09152560520, -88.28750530400)"
Acer saccharum,"maple, sugar",14,1,Street,"(40.09151592980, -88.28692207000)"
Quercus palustris,"oak, pin",26,1,Street,"(40.09151583430, -88.28668438470)"
Quercus palustris,"oak, pin",27,1,Street,"(40.09151155710, -88.28649316710)"
Acer rubrum,"maple, red",16,1,Street,"(40.09215128240, -88.28636401980)"
Acer rubrum,"maple, red",14,1,Street,"(40.09229131130, -88.28636474570)"
Fraxinus pennsylvanica,"ash, green",20,1,Street,"(40.09253411750, -88.28636579400)"
Gleditsia triacanthos inermis,"honeylocust, thornless",21,1,Street,"(40.09394639310, -88.28641911750)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.09154726680, -88.28928096060)"
Ginkgo biloba,ginkgo,27,1,Street,"(40.10577832210, -88.26242582110)"
vacant site large,"vacant site, large",0,0,Street,"(40.10641978050, -88.26640680610)"
vacant site large,"vacant site, large",0,0,Street,"(40.15350771250, -88.25369502750)"
Thuja occidentalis,"arborvitae, eastern",1,3,Street,"(40.11537096450, -88.26953739680)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15052794200, -88.25616552580)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15052884350, -88.25583000920)"
Fraxinus americana,"ash, white",5,1,Street,"(40.15053042950, -88.25565708030)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.15070767950, -88.25643759190)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15062296900, -88.25640087690)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.15052783700, -88.25600808860)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.15053135030, -88.25535247160)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15053563730, -88.25499337660)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15053766180, -88.25465932540)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15054213020, -88.25456956560)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15054314040, -88.25440032200)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15053465500, -88.25520529740)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15054002760, -88.25482856500)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15054639740, -88.25422520900)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15054402660, -88.25405006680)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15066223940, -88.25271151320)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15065703660, -88.25336344890)"
vacant site large,"vacant site, large",0,0,Street,"(40.15066235200, -88.25287338650)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.15054500990, -88.25384258180)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15054713950, -88.25366600340)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15054930540, -88.25350262520)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15054577250, -88.25331575080)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15055124200, -88.25304791140)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15064810030, -88.25430160970)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15065045970, -88.25446054700)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15064488290, -88.25457531370)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15055448980, -88.25286249570)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15055436690, -88.25268588410)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15055594010, -88.25250118580)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15066435190, -88.25251282670)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15066025830, -88.25310001180)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15063665910, -88.25577175530)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15063454100, -88.25597044160)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15063466770, -88.25616025370)"
vacant site large,"vacant site, large",0,0,Street,"(40.15076575840, -88.25630287610)"
vacant site large,"vacant site, large",0,0,Street,"(40.15088997470, -88.25630420250)"
vacant site large,"vacant site, large",0,0,Street,"(40.15103113110, -88.25630990980)"
vacant site large,"vacant site, large",0,0,Street,"(40.15116550620, -88.25631419390)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15065320290, -88.25353634500)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15126457550, -88.25586004540)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15126444100, -88.25565924910)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15126841980, -88.25520803400)"
Ulmus rubra,"elm, slippery",5,1,Street,"(40.15126995130, -88.25503699940)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15126900630, -88.25485745350)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15065446110, -88.25372912490)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.15065009260, -88.25392341390)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15065247050, -88.25410882330)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15127594620, -88.25428489130)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15127735490, -88.25393642040)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15128353930, -88.25346899710)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15064499490, -88.25474015610)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15064399310, -88.25492263600)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15064524800, -88.25511394920)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.15064199660, -88.25529936510)"
Tilia cordata,"linden, littleleaf",3,1,Street,"(40.15063991320, -88.25558927290)"
Acer x freemanii,"maple, Freeman",1,1,Street,"(40.15128394880, -88.25287093590)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15128697350, -88.25252353620)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15139824610, -88.25254358060)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15139264740, -88.25270295820)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15125907640, -88.25617553770)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15126765490, -88.25558065120)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15126610480, -88.25539817260)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15127214460, -88.25466838710)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15138666940, -88.25346465500)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15138533140, -88.25391400770)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15138711810, -88.25411795050)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15138398140, -88.25430812610)"
Ulmus americana,"elm, American",7,1,Street,"(40.15138001580, -88.25449082610)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15136651950, -88.25621712800)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15199266120, -88.25607325290)"
vacant site large,"vacant site, large",0,0,Street,"(40.15144382140, -88.25634106750)"
vacant site large,"vacant site, large",0,0,Street,"(40.15161180550, -88.25640036930)"
vacant site large,"vacant site, large",0,0,Street,"(40.15171821120, -88.25645069020)"
vacant site large,"vacant site, large",0,0,Street,"(40.15183890510, -88.25652174390)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15138964710, -88.25308645390)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15138976700, -88.25325959760)"
Ulmus americana,"elm, American",6,1,Street,"(40.15199835320, -88.25543214350)"
Ulmus americana,"elm, American",4,1,Street,"(40.15199987870, -88.25525155550)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15200219270, -88.25506034160)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15200506010, -88.25451217580)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15138438970, -88.25374190240)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15137621280, -88.25487328510)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15137631990, -88.25503158270)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15137074720, -88.25523446070)"
Ulmus americana,"elm, American",6,1,Street,"(40.15201064100, -88.25432306880)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15200888860, -88.25412867570)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15201202720, -88.25394168220)"
Ulmus americana,"elm, American",4,1,Street,"(40.15201100810, -88.25365699510)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15201415260, -88.25347958900)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15202121170, -88.25308864410)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15202024740, -88.25288573590)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15136943330, -88.25568914350)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15202256860, -88.25271044130)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15202083500, -88.25254684950)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15211471070, -88.25392668070)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15211566020, -88.25411048590)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15211334990, -88.25430488390)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15136955500, -88.25587080120)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15198881740, -88.25640205460)"
Ulmus x,"elm, hybrid",4,1,Street,"(40.15211073480, -88.25465704520)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15210936290, -88.25502247710)"
Acer x freemanii,"maple, Freeman",6,1,Street,"(40.15210556570, -88.25545699120)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15210405390, -88.25561740310)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15210497530, -88.25580435640)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15199335490, -88.25587885710)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15199732550, -88.25570037690)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15199678860, -88.25551396010)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15200368790, -88.25487653390)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15209402230, -88.25646303770)"
Acer saccharinum,"maple, silver",4,1,Street,"(40.15255510620, -88.25661495140)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15269849230, -88.25650589340)"
Ulmus parvifolia,"elm, Chinese",5,1,Street,"(40.15272749390, -88.25599010380)"
vacant site large,"vacant site, large",0,0,Street,"(40.15220823360, -88.25661054800)"
vacant site large,"vacant site, large",0,0,Street,"(40.15234356860, -88.25661357960)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15200274330, -88.25469805930)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15201644530, -88.25326179510)"
Acer x freemanii,"maple, Freeman",4,1,Street,"(40.15273168850, -88.25557207720)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15273678620, -88.25466587450)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15211305430, -88.25447538270)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15210758930, -88.25483552480)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15210538400, -88.25518714890)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15210021480, -88.25599238940)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15210041310, -88.25628984910)"
Ulmus x,"elm, hybrid",3,1,Street,"(40.15210551280, -88.25537836030)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15273911300, -88.25449483520)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15274224780, -88.25430150770)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15245565090, -88.25661399010)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15272761870, -88.25617705970)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15272899700, -88.25581588160)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15272730980, -88.25571496450)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15273483080, -88.25538722820)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15273470770, -88.25520449360)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15284290600, -88.25486018530)"
Ulmus parvifolia,"elm, Chinese",4,1,Street,"(40.15284137180, -88.25502696670)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.15273458140, -88.25501753770)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15273855860, -88.25485071790)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15274130750, -88.25413047220)"
Acer x freemanii,"maple, Freeman",2,1,Street,"(40.15274353510, -88.25381601410)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15284717170, -88.25394976060)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15284809140, -88.25413034820)"
vacant site large,"vacant site, large",0,0,Street,"(40.15193628460, -88.25238729120)"
vacant site large,"vacant site, large",0,0,Street,"(40.15179814870, -88.25238319810)"
vacant site large,"vacant site, large",0,0,Street,"(40.15166986870, -88.25238048860)"
vacant site large,"vacant site, large",0,0,Street,"(40.15152188100, -88.25238066430)"
vacant site large,"vacant site, large",0,0,Street,"(40.15120174370, -88.25237388970)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15284742740, -88.25432367320)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15284428240, -88.25450215470)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15284194760, -88.25466153180)"
Platanus x acerifolia,"planetree, London",2,1,Street,"(40.08111501640, -88.30944512340)"
Platanus x acerifolia,"planetree, London",2,1,Street,"(40.08099557960, -88.30946228300)"
Platanus x acerifolia,"planetree, London",2,1,Street,"(40.08087136460, -88.30947172510)"
Platanus x acerifolia,"planetree, London",2,1,Street,"(40.08075151270, -88.30947266040)"
Platanus x acerifolia,"planetree, London",2,1,Street,"(40.08062844960, -88.30947684870)"
Malus spp.,"crabapple, flowering",3,1,Street,"(40.07163840060, -88.29101012910)"
Malus spp.,"crabapple, flowering",2,3,Street,"(40.07168269410, -88.29097487010)"
Acer rubrum,"maple, red",3,1,Street,"(40.07166226610, -88.28898287190)"
Acer rubrum,"maple, red",3,1,Street,"(40.07104657830, -88.28845744720)"
Acer platanoides,"maple, Norway",3,1,Street,"(40.07060339070, -88.28849268320)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.07030124720, -88.28852625410)"
Fraxinus americana,"ash, white",3,1,Street,"(40.07015854000, -88.28834483420)"
Acer rubrum,"maple, red",2,1,Street,"(40.07069277220, -88.28654920080)"
Acer rubrum,"maple, red",2,1,Street,"(40.07068951890, -88.28637862190)"
Ulmus pumila,"elm, Siberian",2,1,Street,"(40.07045143370, -88.28624318570)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.07016845700, -88.28710764190)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14917678290, -88.25592258660)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918129810, -88.25610688060)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918359890, -88.25626402600)"
Fraxinus americana,"ash, white",4,1,Street,"(40.15137770770, -88.25468951480)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15127118740, -88.25447184890)"
Fraxinus americana,"ash, white",2,1,Street,"(40.15127664410, -88.25410108640)"
Fraxinus americana,"ash, white",5,1,Street,"(40.15137170170, -88.25542888860)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.15137261270, -88.25559992070)"
vacant site large,"vacant site, large",0,0,Street,"(40.15136884290, -88.25603757810)"
Fraxinus americana,"ash, white",3,1,Street,"(40.15128046860, -88.25375372170)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15128420430, -88.25323954530)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.15128571880, -88.25308764940)"
Ulmus parvifolia,"elm, Chinese",3,1,Street,"(40.15128789620, -88.25270519270)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.15139033650, -88.25289309720)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918590420, -88.25642832590)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918933380, -88.25663261800)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918833410, -88.25678121750)"
vacant site large,"vacant site, large",0,0,Street,"(40.15106470890, -88.25237405240)"
vacant site large,"vacant site, large",0,0,Street,"(40.15093642790, -88.25236991190)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918953400, -88.25693550240)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14918321840, -88.25734982490)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14900294510, -88.25747075720)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14900504190, -88.25731929510)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14900492260, -88.25713785830)"
vacant site medium,"vacant site, medium",0,0,Street,"(40.14900700110, -88.25695928080)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07014534770, -88.28739557780)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.07008602750, -88.28740083440)"
Ulmus pumila,"elm, Siberian",3,1,Street,"(40.07004815260, -88.28686986240)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.07068652000, -88.28595770970)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07028805530, -88.28553446550)"
Acer miyabei,"maple, Miyabe",3,1,Street,"(40.06955708780, -88.28541552880)"
Acer miyabei,"maple, Miyabe",2,1,Street,"(40.06968770340, -88.28542115420)"
Acer miyabei,"maple, Miyabe",2,1,Street,"(40.06981194760, -88.28542003090)"
Acer miyabei,"maple, Miyabe",3,1,Street,"(40.06993896840, -88.28542880320)"
Acer rubrum,"maple, red",2,1,Street,"(40.07078036270, -88.28512674860)"
Acer rubrum,"maple, red",2,1,Street,"(40.07091671270, -88.28539006430)"
Acer rubrum,"maple, red",3,1,Street,"(40.07107700160, -88.28539202430)"
Fraxinus americana,"ash, white",3,1,Street,"(40.07146041830, -88.28520398560)"
Celtis occidentalis,"hackberry, common",2,1,Street,"(40.07168314690, -88.28504525120)"
Acer platanoides,"maple, Norway",2,1,Street,"(40.07186587800, -88.28501592920)"
Acer rubrum,"maple, red",2,1,Street,"(40.07195962710, -88.28502315220)"
Acer rubrum,"maple, red",2,1,Street,"(40.07208147200, -88.28506169240)"
Ulmus pumila,"elm, Siberian",3,1,Street,"(40.07245415670, -88.28507600810)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07266330240, -88.28499657050)"
Acer rubrum,"maple, red",2,1,Street,"(40.07281076070, -88.28497248980)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07309227100, -88.28549495030)"
Acer rubrum,"maple, red",3,1,Street,"(40.07311481120, -88.28570146860)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07356139610, -88.28714340350)"
vacant site large,"vacant site, large",0,0,Street,"(40.14949721610, -88.25234840440)"
vacant site large,"vacant site, large",0,0,Street,"(40.14918903880, -88.25375458850)"
vacant site large,"vacant site, large",0,0,Street,"(40.14918805940, -88.25392744170)"
vacant site large,"vacant site, large",0,0,Street,"(40.14918817780, -88.25410032940)"
vacant site large,"vacant site, large",0,0,Street,"(40.14918609010, -88.25425891070)"
vacant site large,"vacant site, large",0,0,Street,"(40.14918126740, -88.25443248380)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.15283905500, -88.25521392580)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.15283755630, -88.25539347860)"
Acer rubrum,"maple, red",3,1,Street,"(40.07372422070, -88.28751677330)"
Nyssa sylvatica,blackgum,2,1,Street,"(40.07382529670, -88.28772642200)"
Acer x freemanii,"maple, Freeman",3,1,Street,"(40.07390230940, -88.28789638800)"
Ulmus x,"elm, hybrid",3,1,Street,"(40.07400819100, -88.28818218170)"
Quercus bicolor,"oak, swamp white",3,1,Street,"(40.07405236810, -88.28841477450)"
Fraxinus americana,"ash, white",3,1,Street,"(40.07341606570, -88.28853307470)"
Tilia cordata,"linden, littleleaf",2,1,Street,"(40.07329504350, -88.28848934580)"
Ulmus pumila,"elm, Siberian",2,1,Street,"(40.07309072600, -88.28863762680)"
Syringa reticulata,"lilac, Japanese tree",3,1,Street,"(40.07294799030, -88.28845305480)"
Syringa reticulata,"lilac, Japanese tree",3,1,Street,"(40.07290231620, -88.28846562690)"
Syringa reticulata,"lilac, Japanese tree",3,1,Street,"(40.07286623960, -88.28845103600)"
Malus spp.,"crabapple, flowering",3,1,Street,"(40.07285106630, -88.28854077000)"
Acer rubrum,"maple, red",3,1,Street,"(40.07293206110, -88.28871805700)"
Quercus bicolor,"oak, swamp white",2,1,Street,"(40.07284712320, -88.28870871480)"
Celtis occidentalis,"hackberry, common",3,1,Street,"(40.07266030900, -88.28854503990)"
Juniperus spp.,"juniper, spp.",3,1,Street,"(40.07297455130, -88.28870655920)"
vacant site large,"vacant site, large",0,0,Street,"(40.14917932280, -88.25480251530)"
vacant site large,"vacant site, large",0,0,Street,"(40.14917835450, -88.25499397010)"
vacant site large,"vacant site, large",0,0,Street,"(40.14917739740, -88.25520255980)"
